    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 1932,        934898,          932978,           1013,     22852,       13070,        121,     62441,       19764,        153,    1865346,       932978,        5241
 1933,        935864,          933943,           1050,     23679,       13233,        118,     62472,       19773,        150,    1867278,       933943,        5863
 1934,        936230,          934308,            998,     24290,       14486,        160,     62492,       19802,        178,    1869211,       934308,        5685
 1935,        937807,          935884,           1008,     24604,       12646,        133,     62477,       19811,        219,    1871145,       935884,        5607
 1936,        939698,          937774,           1001,     26759,       13158,        119,     62433,       19785,        149,    1873080,       937774,        5254
 1937,        940248,          938323,           1520,     23200,       12852,        205,     62464,       19795,        154,    1875016,       938323,        5530
 1938,        941364,          939438,           1059,     23172,       12293,        115,     62485,       19822,        207,    1876953,       939438,        5330
 1939,        942342,          940415,           1152,     24142,       12316,        128,     62564,       19839,        262,    1878891,       940415,        5438
 1940,        942662,          940734,           1014,     24019,       13875,        116,     62541,       19846,        162,    1880830,       940734,        5717
 1941,        942966,          941037,           1014,     25321,       15425,        131,     62583,       19870,        219,    1882770,       941037,        5716
 1942,        943250,          941320,           1003,     26684,       16793,        126,     62578,       19871,        149,    1884711,       941320,        5478
 1943,        944629,          942698,           1118,     27806,       14188,        120,     62651,       19895,       1750,    1886653,       942698,        5208
